urls,valoracion,numero_votos
https://es.restaurantguru.com/Cafeteria-Restaurante-el-Forcon-Aviles,68,18
https://es.restaurantguru.com/La-Curuxa-Aviles,70,420
https://es.restaurantguru.com/Pulperia-Ria-de-Arosa-Aviles,68,101
https://es.restaurantguru.com/Meson-Viana-Aviles,86,761
https://es.restaurantguru.com/Burger-King-Aviles-2,68,812
https://es.restaurantguru.com/Sidreria-El-Rinconin-Aviles,68,136
https://es.restaurantguru.com/La-Competencia-Aviles,80,1666
https://es.restaurantguru.com/Casa-Marisa-Aviles,76,536
https://es.restaurantguru.com/Gastrobar-La-Plaza-Aviles,72,22
https://es.restaurantguru.com/Pura-Vida-Aviles-Aviles,74,162
https://es.restaurantguru.com/Hotel-Restaurante-LA-PEPA-Aviles,65,90
https://es.restaurantguru.com/Chigre-La-Barrosa-La-Cangueta,74,628
https://es.restaurantguru.com/El-Rinconin-Aviles-2,82,1204
https://es.restaurantguru.com/Pasaje-Roma-Aviles,86,867
https://es.restaurantguru.com/Restaurante-Cafeteria-El-Corte-Ingles-Aviles-2,64,197
https://es.restaurantguru.com/Bar-Mesa-Aviles,65,24
https://es.restaurantguru.com/Taqueria-Sol-Queretaro-Aviles,65,42
https://es.restaurantguru.com/Bocateria-Gyros-Pita-Aviles,86,203
https://es.restaurantguru.com/Taco-Bell-Aviles,74,687
https://es.restaurantguru.com/La-Antigua-Taberna-Gallega-Aviles,70,205
https://es.restaurantguru.com/City-Doner-Kebab-Aviles,72,236
https://es.restaurantguru.com/La-Bellota-Aviles,78,736
https://es.restaurantguru.com/La-Real-Compania-Sidrera-Y-Gastronomica-Aviles,76,298
https://es.restaurantguru.com/La-Celtica-Aviles,74,269
https://es.restaurantguru.com/Camara-4-Aviles,78,283
https://es.restaurantguru.com/Burger-King-Aviles,74,1722
https://es.restaurantguru.com/K-fe-Aviles-2,84,871
https://es.restaurantguru.com/La-Arana-Aviles-3,65,35
https://es.restaurantguru.com/telepizza-Corvera-de-Asturias,68,290
https://es.restaurantguru.com/Los-Molcajetes-Aviles,68,13
https://es.restaurantguru.com/Malvasia-Vinos-Tapas-Aviles,70,15
https://es.restaurantguru.com/Dominos-Aviles,78,1275
https://es.restaurantguru.com/Restautante-Rias-Baixas-Aviles-2,60,45
https://es.restaurantguru.com/Bar-Vieques-Aviles,84,650
https://es.restaurantguru.com/Burguer-King-Corvera-de-Asturias,72,2170
https://es.restaurantguru.com/Bar-Alfil-Aviles,70,20
https://es.restaurantguru.com/Bar-Marimar-Aviles,62,11
https://es.restaurantguru.com/Vinoteca-Sal-de-vinos-Aviles,80,350
https://es.restaurantguru.com/TAPUKAS-Aviles,74,387
https://es.restaurantguru.com/Almazara-Aviles,72,70
https://es.restaurantguru.com/McDonalds-Aviles,72,2279
https://es.restaurantguru.com/King-Doner-Kebap-Aviles,74,184
https://es.restaurantguru.com/La-Biblioteca-Aviles,78,4923
https://es.restaurantguru.com/Coliseo-Cafe-Aviles,74,478
https://es.restaurantguru.com/2000-Aviles,72,20
https://es.restaurantguru.com/Cafe-Mogan-Aviles,72,130
https://es.restaurantguru.com/El-Viejo-Roble-Aviles,82,710
https://es.restaurantguru.com/El-Calendoscopio-Spain,86,823
https://es.restaurantguru.com/100-montaditos-aviles-Aviles,70,1065
https://es.restaurantguru.com/Cafe-Frida-Aviles,72,154
https://es.restaurantguru.com/Telepizza-Aviles-2,64,277
https://es.restaurantguru.com/Sidreria-Avelino-Aviles,74,49
https://es.restaurantguru.com/El-Patio-de-Santa-Ana-Aviles,82,571
https://es.restaurantguru.com/La-Iguana-Spain-3,70,272
https://es.restaurantguru.com/Dominos-Pizza-Aviles,72,180
https://es.restaurantguru.com/Malawy-Aviles-2,68,254
https://es.restaurantguru.com/Circolo-CoffeeandDrinks-Aviles,68,219
https://es.restaurantguru.com/Cafe-Bar-112-Aviles,70,15
https://es.restaurantguru.com/La-Bodega-De-Agustin-Aviles,86,214
https://es.restaurantguru.com/Panetela-Aviles,84,1229
https://es.restaurantguru.com/El-Capricho-de-Ana-Aviles,65,23
https://es.restaurantguru.com/LA-LATERIA-DE-LA-CALLEJA-Aviles,84,348
https://es.restaurantguru.com/Uxia-Cafe-Aviles,74,212
https://es.restaurantguru.com/La-Galeria-Aviles,68,325
https://es.restaurantguru.com/Bar-Nevada-Aviles,64,13
https://es.restaurantguru.com/Pecaditos-Aviles,57,23
https://es.restaurantguru.com/Enoteca-Merlot-Aviles,84,867
https://es.restaurantguru.com/MURO-GrillandBar-Spain,70,752
https://es.restaurantguru.com/La-Darsena-De-Fernando-Aviles,52,35
https://es.restaurantguru.com/La-Serrana-Spain,80,2159
https://es.restaurantguru.com/ShaSha-Aviles,72,18
https://es.restaurantguru.com/El-Codo-Hincado-Aviles,76,179
https://es.restaurantguru.com/Cafe-Bar-El-Puerto-Aviles,70,599
https://es.restaurantguru.com/Cafe-de-Angel-Aviles,54,19
https://es.restaurantguru.com/Delhi-Doner-Kebab-Aviles-Aviles,65,67
https://es.restaurantguru.com/Populart-Aviles,74,173
https://es.restaurantguru.com/Los-Penones-Aviles,70,29
https://es.restaurantguru.com/La-Cantina-de-Villalegre-Aviles-2,74,727
https://es.restaurantguru.com/Tuercebotas-Aviles,80,492
https://es.restaurantguru.com/La-Panera-Cafe-Aviles,76,520
https://es.restaurantguru.com/Cafe-J14-Aviles,68,94
https://es.restaurantguru.com/el-chigre-de-sabugo-Aviles,65,126
https://es.restaurantguru.com/Cafeteria-Luarca-Aviles,70,75
https://es.restaurantguru.com/LOS-PENONES-Aviles-2,54,37
https://es.restaurantguru.com/Bar-Naranjal-Aviles,72,101
https://es.restaurantguru.com/Malvasia-Aviles,72,197
https://es.restaurantguru.com/Bar-Perez-Aviles,68,249
https://es.restaurantguru.com/Szia-Szia-Coffeeand-Books-Aviles,84,430
https://es.restaurantguru.com/Azor-Aviles,80,284
https://es.restaurantguru.com/bar-magadan-Zeluan,70,222
https://es.restaurantguru.com/La-Taberna-de-Mario-Aviles,68,64
https://es.restaurantguru.com/El-Jardin-de-Yume-Aviles,86,960
https://es.restaurantguru.com/El-Cabezon-De-Sabugo-Aviles,68,21
https://es.restaurantguru.com/Cuevas-de-San-Jose-Aviles,82,1334
https://es.restaurantguru.com/Cantina-de-la-Renfe-Aviles,74,103
https://es.restaurantguru.com/Les-Ayalgues-Aviles,72,19
https://es.restaurantguru.com/Los-Tres-Tenores-Galiana-Aviles,78,304
https://es.restaurantguru.com/Asador-El-Bosque-Aviles,72,79
https://es.restaurantguru.com/Lubian-Aviles,65,16
https://es.restaurantguru.com/La-Reserva-Aviles,84,179
https://es.restaurantguru.com/Monterrey-Aviles,80,290
https://es.restaurantguru.com/Sidreria-Galicia-Aviles,72,183
